DeliverableID,HasDependencyCsv,RowCount,SchemaValid,HasImplementsNode
DEL-01-01,Y,4,Y,N
DEL-01-02,Y,5,Y,N
DEL-01-03,Y,6,Y,N
DEL-01-04,Y,5,Y,N
DEL-02-01,Y,7,Y,N
DEL-02-02,Y,8,Y,N
DEL-02-03,Y,8,Y,N
DEL-02-04,Y,10,Y,N
DEL-02-05,Y,10,Y,N
DEL-03-01,Y,10,Y,N
DEL-03-02,Y,10,Y,N
DEL-03-03,Y,9,Y,N
DEL-03-04,Y,9,Y,N
DEL-03-05,Y,9,Y,N
DEL-03-06,Y,9,Y,N
DEL-03-07,Y,11,Y,N
DEL-03-08,Y,9,Y,N
DEL-04-01,Y,8,Y,N
DEL-04-02,Y,8,Y,N
DEL-04-03,Y,8,Y,N
DEL-04-04,Y,8,Y,N
DEL-04-05,Y,7,Y,N
DEL-04-06,Y,9,Y,N
DEL-05-01,Y,9,Y,N
DEL-05-02,Y,9,Y,N
DEL-05-03,Y,10,Y,N
DEL-05-04,Y,6,Y,N
DEL-05-05,Y,8,Y,N
DEL-06-01,Y,12,Y,N
DEL-06-02,Y,10,Y,N
DEL-06-03,Y,10,Y,N
DEL-06-04,Y,9,Y,N
DEL-06-05,Y,11,Y,N
DEL-07-01,Y,15,Y,N
DEL-07-02,Y,10,Y,N
DEL-07-03,Y,13,Y,N
DEL-07-04,Y,11,Y,N
DEL-07-05,Y,11,Y,N
DEL-07-06,Y,13,Y,N
DEL-07-07,Y,12,Y,N
DEL-08-01,Y,14,Y,N
DEL-08-02,Y,9,Y,N
DEL-08-03,Y,11,Y,N
DEL-08-04,Y,11,Y,N
DEL-08-05,Y,11,Y,N
DEL-09-01,Y,9,Y,N
DEL-09-02,Y,8,Y,N
DEL-09-03,Y,6,Y,N
DEL-09-04,Y,8,Y,N
DEL-09-05,Y,10,Y,N
DEL-10-01,Y,11,Y,N
DEL-10-02,Y,12,Y,N
DEL-10-03,Y,12,Y,N
DEL-10-04,Y,11,Y,N
DEL-10-05,Y,13,Y,N
DEL-11-01,Y,10,Y,N
DEL-11-02,Y,11,Y,N
DEL-11-03,Y,9,Y,N
DEL-11-04,Y,10,Y,N
DEL-11-05,Y,8,Y,N
DEL-12-01,Y,10,Y,N
DEL-12-02,Y,13,Y,N
DEL-12-03,Y,9,Y,N
DEL-12-04,Y,11,Y,N
DEL-12-05,Y,11,Y,N
